mnemonic,number,id
APMA,714,2969
APMA,748,2970
PSHM,4200,13218
APMA,895,2972
APMA,897,2973
APMA,898,2974
LAW,9262,12459
APMA,695,2967
CS,4610,610
PPOL,5040,9329
CHEM,5420,11529
FREN,5530,7877
FREN,5150,7875
PPOL,5060,9330
APMA,3080,95
PPOL,6501,9332
ISBU,3610,1566
ARTH,4951,9095
FREN,5400,7876
ENSP,4500,1112
FREN,5585,9554
FREN,5580,7878
LAW,9265,12461
ISHU,3070,10074
PSED,6002,10830
EDLF,7132,14056
ARAB,102,2977
COMM,3600,555
APMA,997,2975
APMA,999,2976
LAW,7719,11495
PPOL,6500,9331
ISBU,3281,10389
ISHU,4041,10077
EDLF,7601,984
FREN,8530,7880
PPOL,7001,9335
FREN,8585,9556
ISBU,3888,10390
COMM,4622,569
ENSP,5559,1113
FREN,5812,9555
PHAR,8140,8498
ISHU,3080,10391
COMM,4623,570
COMM,4562,567
ISHU,3010,1569
ISHU,3306,10075
PSHM,5080,13219
LAW,7720,11496
LAW,9268,12463
ARTR,3245,12328
FREN,8580,7881
CHE,2215,449
PSYC,4130,10831
COMM,4993,584
CELL,898,3400
EDLF,7806,6654
COMM,4830,582
ISHU,3610,10076
LAW,9271,12464
CPLT,4998,591
ISHU,3615,10393
CHE,4448,7495
COMM,5450,587
MDST,3809,10258
CPLT,3559,589
LAW,7722,11498
COMM,4720,578
LAW,9273,12465
LAW,9275,12466
HIUS,3191,14277
COMM,4899,583
COMM,4790,580
PHYE,1150,8550
COMM,5140,586
CPLT,3590,590
CPLT,2010,588
ENSP,5810,1114
ISHU,3620,10394
FRTR,7588,7882
CELL,904,3401
PSYC,5260,10833
MSE,2101,14307
CS,2220,600
ISSS,4063,9916
CS,4501,609
LAW,8016,1738
CS,4240,605
LAW,9292,13608
HIST,5062,6799
ITAL,4020,8121
CS,3102,602
EVSC,2801,1176
LAW,7774,12907
ARAD,1550,11204
CS,9999,627
CS,6160,615
DANC,2210,629
JPTR,2100,6865
EDLF,8383,14057
CS,5501,12081
PSYC,4559,9340
PSHM,5805,13220
DRAM,8160,690
PSYC,2701,9338
PSYC,3559,9339
ARAD,5500,9424
CHE,6448,7499
PSYC,5559,9341
CS,6240,617
DANC,2300,631
HIST,5077,6800
PSPM,5250,9337
DANC,3640,633
HIST,7051,6801
DANC,3230,632
ITAL,7400,8122
DRAM,2130,642
SOC,3450,9846
DRAM,2020,639
DRAM,2040,640
ARAH,9999,156
ARCH,3011,11205
DRAM,2230,644
DRAM,2330,646
DRAM,3210,654
LAW,9997,12467
CHE,202,3403
CHEM,512,3449
DRAM,3420,657
DRAM,3600,659
DRAM,2810,650
LAW,8664,14486
DRAM,2620,648
MUPF,4960,13151
PSYC,7255,10835
DRAM,3640,660
DRAM,2630,649
DRAM,3080,653
DRAM,3410,656
DRAM,3300,655
DRAM,3440,658
HIST,7151,6802
DRAM,4596,672
ISHU,4105,10395
DRAM,4598,674
MAE,1501,12468
DRAM,4599,675
DRAM,4593,670
DRAM,7260,683
DRAM,7170,681
DRAM,3720,665
DRAM,7400,685
DRAM,4710,676
DRAM,4720,677
DRAM,4597,673
DRAM,4594,671
DRAM,7620,686
DRAM,8130,689
DRAM,7690,687
DRAM,7240,682
DRAM,7290,684
LAW,9081,1814
ARCH,3270,11206
IT,3310,9919
DRAM,7090,679
LAW,9114,6922
MDST,4210,11952
IT,3330,9920
DRAM,8390,695
HIST,8559,6804
DRAM,8460,698
DRAM,8350,693
CHIN,3559,13510
MICR,8042,10122
DRAM,8370,694
RELA,3900,9343
ARCH,4011,11207
ITAL,7900,8124
DRAM,8680,701
MED,8658,10769
DRAM,8330,692
HIST,7559,6803
PSYC,9559,10837
SOC,4660,13221
ISSS,3421,9913
CHEM,522,3450
CHEM,535,3451
EDHS,7060,820
ECE,3330,711
DRAM,8998,702
ISSS,3382,10078
DRAM,8470,699
EALC,2559,703
EVSC,4010,7848
ITAL,7995,8125
ISHU,4230,10396
ECE,3632,712
ECE,5750,727
