Term Desc,Subject,Catalog Number,Class Title,Course ID,Primary Instructor Name,Class Section,Class Num,Class Academic Group,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2022 Spring,LAW,9059,Airline Industry/Aviation Law,022082,"Stone,Thatcher A.",1,17824,LAW,3.386666667,15,1,1,2,7,4,0,0,0,0,0
2022 Spring,LAW,9056,Business Reorg Under Chptr 11,021948,"Ackerly,Benjamin C",1,17813,LAW,3.270588235,17,0,1,4,6,4,1,1,0,0,0
2021 Fall,LAW,9053,Hallmks of Distinguished Advoc,021945,"Shadel,Molly Bishop",1,20113,LAW,3.533333333,12,0,0,7,5,0,0,0,0,0,0
2022 Spring,LAW,9043,Tax Practice and Procedure Sem,040065,"Malone,James L",1,17825,LAW,3.425,8,0,2,2,1,2,1,0,0,0,0
2021 Fall,LAW,9042,Corp Social Responsibility Sem,040105,"Butler,Jay",1,20316,LAW,3.56,15,0,4,5,3,3,0,0,0,0,0
2022 Spring,LAW,9040,Animal Law,040104,"Riley,Margaret F",1,17740,LAW,3.484615385,13,0,0,6,7,0,0,0,0,0,0
2021 Fall,LAW,9039,Supreme Court: October Term,040091,"Harmon,Rachel A",1,20112,LAW,3.645454545,11,0,2,6,3,0,0,0,0,0,0
2021 Fall,LAW,9039,Supreme Court: October Term,040091,"Harrison,John C",1,20112,LAW,3.645454545,11,0,2,6,3,0,0,0,0,0,0
2022 Spring,HIST,9035,Histories of Neoliberalism,046603,"Milov,Sarah Elizabeth",001,20949,CGAS,3.925,8,5,1,2,0,0,0,0,0,0,0
2021 Fall,LAW,9034,Transactional Approach to M&A,040041,"Lyons,Peter David",1,19286,LAW,3.44,15,0,2,4,6,3,0,0,0,0,0
2022 Spring,LAW,9027,Advanced LawTech,040063,"Livermore,Michael A.",1,19691,LAW,3.471428571,7,0,0,3,4,0,0,0,0,0,0
2021 Fall,LAW,9022,Lessons From COVID-19,040036,"Riley,Margaret F",1,20542,LAW,3.51875,16,0,1,7,8,0,0,0,0,0,0
2021 Fall,LAW,9008,Children and the Law,040031,"Block Jr.,Andrew K.",1,20111,LAW,3.488235294,17,0,1,7,8,1,0,0,0,0,0
2022 Spring,LAW,9007,An American Half-Century,022323,"Setear,John K",1,17512,LAW,3.515384615,13,0,2,5,4,2,0,0,0,0,0
2022 Spring,LAW,9006,Advanced Verbal Persuasion,040010,"Shadel,Molly Bishop",1,17435,LAW,3.566666667,12,0,0,8,4,0,0,0,0,0,0
2021 Fall,LAW,9005,Decriminalizing Mental Illness,022247,"Bonnie,Richard J",1,20162,LAW,3.471428571,7,0,0,3,4,0,0,0,0,0,0
2021 Fall,PHAR,9002,Principles of Pharmacology II,042341,"Creutz,Carl E",001,17905,MDS,3.94,5,3,1,1,0,0,0,0,0,0,0
2021 Fall,PHAR,9001,Principles of Pharmacology I,042342,"Creutz,Carl E",001,17904,MDS,4,5,2,3,0,0,0,0,0,0,0,0
2021 Fall,BIMS,8995,Topical Research,042296,"Smith,Jeffrey S",003,17947,MDS,3.957142857,14,3,9,2,0,0,0,0,0,0,0
2021 Fall,BME,8995,M.E. Supervsd Project Research,004175,"Rosen,Jonathan Jay",001,16707,ENGR,3.930769231,13,8,2,3,0,0,0,0,0,0,0
2022 Spring,ALAR,8995,Thesis II,000312,"Lorenz,Esther",002,14562,ARCH,3.754545455,11,0,6,2,3,0,0,0,0,0,0
2021 Fall,SANS,8993,Independent Study in Sanskrit,034833,"Hueckstedt,Robert A",001,10794,CGAS,3.68,5,0,1,3,1,0,0,0,0,0,0
2021 Fall,MDST,8966,Master's Thesis Development,045838,"Ali,Christopher Fareed George",001,13982,CGAS,3.914285714,7,0,5,2,0,0,0,0,0,0,0
2022 Spring,PHS,8901,Applied Practice Experience II,044476,"Engelhard,Carolyn Long",003,21214,MDS,3.8125,8,0,3,5,0,0,0,0,0,0,0
2022 Spring,PHS,8881,Integrative Learning HP Part 1,044384,"Zelle,Heather",008,18272,MDS,3.88,5,0,3,2,0,0,0,0,0,0,0
2021 Fall,ENGL,8820,Critical Methods,040734,"Ogden,Emily Nicole",001,18488,CGAS,3.935714286,14,0,11,3,0,0,0,0,0,0,0
2022 Spring,LAW,8811,Independent Research,040388,"Geis,George Samuel",1B,21170,LAW,3.8125,8,0,3,5,0,0,0,0,0,0,0
2021 Fall,LAW,8807,PT Externship: Directed Study,042592,"Ryan,Anne Sprightley",1,19149,LAW,3.755,20,2,5,9,4,0,0,0,0,0,0
2022 Spring,LAW,8807,PT Externship: Directed Study,042592,"Ryan,Anne Sprightley",1,17437,LAW,3.747368421,19,0,9,7,1,2,0,0,0,0,0
2022 Spring,LAW,8805,Grad Legal Research/Writing II,042533,"Luu,Xinh T",1,17482,LAW,3.389473684,19,0,1,4,12,2,0,0,0,0,0
2022 Spring,LAW,8805,Grad Legal Research/Writing II,042533,"Luu,Xinh T",2,19729,LAW,3.4625,16,0,1,7,5,3,0,0,0,0,0
2021 Fall,LAW,8802,Grad Legal Research/Writing I,021830,"Moran,Karen Marie",1,19174,LAW,3.4,14,0,1,4,6,3,0,0,0,0,0
2021 Fall,LAW,8802,Grad Legal Research/Writing I,021830,"Moran,Karen Marie",2,20419,LAW,3.384615385,26,0,2,8,9,6,1,0,0,0,0
2021 Fall,EDHS,8772,Advanced Psychotherapy,045975,"Yoder,Matthew S",1,15374,EDUC,3.66,5,0,3,0,1,1,0,0,0,0,0
2022 Spring,ECON,8720,Time Series Econometrics,008073,"Farmer,Leland Edward",200,13863,CGAS,3.511111111,9,0,2,2,4,1,0,0,0,0,0
2022 Spring,MATH,8720,Differential Geometry,023272,"Mazzoli,Filippo",001,13291,CGAS,3.814285714,7,3,3,0,0,0,1,0,0,0,0
2021 Fall,ECON,8710,Cross Section Econometrics,008072,"Kosenkova,Lidia",001,18864,CGAS,3.691666667,12,0,6,2,3,1,0,0,0,0,0
2022 Spring,PHYS,8710,Nuclear Physics I,030963,"Liuti,Simonetta",001,21075,CGAS,3.97,10,2,7,1,0,0,0,0,0,0,0
2021 Fall,EDHS,8680,Cognitive Neuroscience,045948,"Brenner,Laurie A",1,15359,EDUC,3.72,5,0,3,0,2,0,0,0,0,0,0
2021 Fall,GNUR,8670,Resilient Leadership,045530,"Ridge,Richard A.",001,17302,NURS,3.94375,16,4,9,3,0,0,0,0,0,0,0
