ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,WaitlistLimit,Description,Disciplines,Cost
10052,LAW,7501,2,Lecture,1,"Kimberly Krawiec, Peter Jaworski",motuweth 1:00pm - 4:00pm,***,01/12/2026 - 01/15/2026,,,,,,,,,,,,,Special Topics in Law Short Course (SC),Blood Feud (SC),Open,3,16,0,199,Various short topics offered at the Law School.,,
10053,LAW,7610,1,Lecture,1,"Malik Laazouzi, Marie Gore",motuwethfr 9:00am - 11:00am,***,01/07/2026 - 01/14/2026,,,,,,,,,,,,,French Public and Private Law (SC),,Closed,20,20,0,0,"This short course will study the various sources of French Law, the French Civil Code, the increasing significance of case law and the impact of the European Convention of Human Rights, Towards a European Civil Code, basic principles of contracts and new directions, key notions on torts (recent trends in case law) and modern trends in family law (spouse, so-called Pacs, effects of foreign polygamy and repudiation in France, inheritance).",,
10062,LAW,7611,1,SEM,1,"Amul Thapar, Andrew Oldham",motuweth 9:00am - 12:00pm,***,01/12/2026 - 01/15/2026,,,,,,,,,,,,,The Great Writ (SC),,Closed,11,12,0,199,"Blackstone described the writ of habeas corpus as ""the most celebrated writ in the English law."" Today we call it ""The Great Writ."" In this short course, we will trace the Great Writ from its origins in England to its roll in federal courts today.",,
10049,LAW,7639,1,SEM,1,"David Law, Donald Clarke",motuweth 1:00pm - 4:00pm,***,01/12/2026 - 01/15/2026,,,,,,,,,,,,,Chinese Law (SC),,Open,7,16,0,199,This short intensive course seeks to offer students a highly selective introduction to the legal and political systems of the People's Republic of China.,,
10055,LAW,7645,1,Lecture,1,John Setear,motuweth 1:00pm - 4:00pm,***,01/12/2026 - 01/15/2026,,,,,,,,,,,,,Baseball (SC),,Open,14,16,0,199,This course examines the effect of various laws and law-like rules on Major League Baseball. Suitable for non-experts and will include (optional) session aimed at bringing them up to speed.,,
10056,LAW,7647,1,Lecture,1,"Abraham Sutherland, Michael Gilbert",motuweth 9:00am - 12:00pm,***,01/12/2026 - 01/15/2026,,,,,,,,,,,,,Cryptocurrency Law and Policy (SC),,Open,9,16,0,199,"This course will address legal and policy issues related to cryptocurrency. We will study what cryptocurrency is, why people demand it, and what advantages and disadvantages it has compared to conventional money. We will connect cryptocurrency to tax, criminal law, smart contracts, and other legal topics. The course is meant to be complementary to, and not mutually exclusive with, Cryptocurrency Regulation (SC) (LAW 7808).",,
10057,LAW,7692,1,Lecture,1,"Molly Shadel, Paul Devamithran, Susan Sajadi",motuweth 9:00am - 12:00pm,***,01/12/2026 - 01/15/2026,,,,,,,,,,,,,Persuasion (SC),,Open,18,30,0,199,This short course offers a quick but intensive training course in effective verbal communications.,,
10058,LAW,7706,1,SEM,1,"Danielle Citron, John Woods",motuweth 1:00pm - 4:00pm,***,01/12/2026 - 01/15/2026,,,,,,,,,,,,,Cyber Security and Privacy Boot Camp (SC),,Open,10,16,0,199,This short simulaton course helps prepare students for the nuts and bolts of cyber security and privacy practice.,,
10050,LAW,7782,1,Lecture,1,"Kavya Parsa, Paul Mitchell",motuweth 9:00am - 12:00pm,***,01/12/2026 - 01/15/2026,,,,,,,,,,,,,Wildlife Advocacy (SC),,Open,5,16,0,199,"This short course will teach students how to use professional skills to protect free-ranging wild animals. This course will introduce wildlife biology and animal ethics as they relate to various areas of federal and state law (including constitutional, statutory, and administrative law). Via several in-class simulations, students will practice how to protect free-ranging wildlife using a variety of regulatory and advocacy tools.",,
10059,LAW,7795,1,Lecture,1,"Dotan Oliar, William Charron",motuweth 1:00pm - 4:00pm,***,01/12/2026 - 01/15/2026,,,,,,,,,,,,,Art Law (SC),,Open,7,16,0,199,"This short course will introduce students to the practice of ""art law,' which lies at the intersection of several bodies of law. Contract doctrines such as meetings of minds, mistakes of fact, warranties, and good faith will be explored. The Uniform Commercial Code, which is the primary regulatory schema in the U.S. governing disputes over art transactions, including claims of looted art and fake art, will also be studied.",,
10060,LAW,7823,1,SEM,1,"Anne Coughlin, Naomi Cahn",motuweth 9:00am - 12:00pm,***,01/12/2026 - 01/15/2026,,,,,,,,,,,,,Reproductive Rights and Justice (SC),,Open,14,16,0,199,"This short course explores Reproductive Justice as a paradigm for understanding reproductive oppression -- that is, the subordination of individuals through their bodies, sexualities, and abilities to reproduce.",,
10061,LAW,7830,1,SEM,1,"Aditya Bamzai, Gaurang Gulati",motuweth 9:00am - 12:00pm,***,01/12/2026 - 01/15/2026,,,,,,,,,,,,,Sovereign Debt and the Constitution (SC),,Open,4,12,0,199,"Sovereigns take on debt - money owed or due at some point in the future - to finance their present expenditures. What mechanisms, if any, ensure that the promises to pay are credible and enforceable? In this short course, we examine this question against the backdrop of U.S. constitutional law. ",,
10158,LAW,8829,1,PRA,1,A. Ryan,tba,***,01/02/2026 - 01/17/2026,,,,,,,,,,,,,JT Externship: Field Experience (SC),,Open,2,3,0,0,"This field experience is one part of a two-part externship combining academic study and work experience under the supervision of a faculty member and an educational, charitable, governmental or nonprofit host organization.",,
10159,LAW,8830,1,IND,1,A. Ryan,tba,***,01/02/2026 - 01/17/2026,,,,,,,,,,,,,JT Externship: Directed Study (SC),,Open,2,3,0,0,"This directed study is one part of a two-part externship combining academic study and work experience under the supervision of a faculty member and an educational, charitable, governmental or nonprofit host organization.",,
10157,LPPP,3500,001,Lecture,3,Annie Forrest,motuwethfrsa 12:00am - 12:00am,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Special Topics in Social Entrepreneurship,Impact Invst in Act:Appalachia,Open,13,15,0,0,Topical course in social entrepreneurship,,
10108,MDST,2000,001,Lecture,3,Siva Vaidhyanathan,mo 12:00am - 12:00am,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Introduction to Media Studies,,Open,101,200,0,10,"This course is a survey introduction to the complex and increasingly pervasive impact of mass media in the U.S. and around the world. It provides a foundation for helping you to understand how mass media -- as a business, as well as a set of texts -- operates. The course also explores contextual issues -- how media texts and businesses are received by audiences and by regulatory bodies.",Social & Economic Systems,
10110,MDST,3504,001,SEM,3,Keara Goin,motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Topics in Global Media,Mexico Goes to Hollywood,Open,9,10,0,10,"This course offers historical, comparative, critical, and media industry perspectives on global media. It explores how capital, geopolitics, new technologies and forms of production and consumption impact global media flows. Topics include studies of media systems, textual traditions, media circulation, globalization, the role of media technologies in international affairs, and the role of transnationalism in national and international affairs.","Artistic, Interpretive, & Philosophical Inquiry",
10111,MDST,3559,001,SEM,3,Andrea Press,motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,New Course in Media Studies,"Love, Sex & Media",Open,12,20,0,10,This course provides the opportunity to offer a new course in the subject of Media Studies.,"Artistic, Interpretive, & Philosophical Inquiry",
10149,MDST,3559,003,SEM,3,Kate Sweeney,motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,New Course in Media Studies,The Journalist on Screen,Closed,15,15,0,100,This course provides the opportunity to offer a new course in the subject of Media Studies.,"Artistic, Interpretive, & Philosophical Inquiry",
10132,MDST,4701,001,SEM,3,Andre Cavalcante,motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Media and Everyday Life,,Open,10,20,0,10,"This course turns a critical eye towards media's relationship to everyday life. It conceptualize media, such as cell phones, television, and YouTube for example, as central forces in representing, demarcating and franchising the ordinary. We will explore the construction of ordinariness in media as well as the ways in which audiences engage with media in daily life to achieve `taken for grantedness'. Prerequisite: MDST 2000","Artistic, Interpretive, & Philosophical Inquiry$Social & Economic Systems$Second Writing",
10152,MUSI,2509,001,SEM,3,Nathan Moore,motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Introduction to Topics in Music Studies,Multimedia Storytelling,Open,5,15,0,100,"Selected topics, announced in advance, exploring the study of music through specific contexts and methods. Appropriate for non-majors.","Artistic, Interpretive, & Philosophical Inquiry",
10047,PHS,8880,001,PRA,1 - 3,Aaron Pannone,tba,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Integrative Learning RP Part 1,,Open,0,2,0,0,Practicum associated with Methods Course for Research in Practice Concentration. Prerequisite: Instructor Permission,,
10044,PHS,8881,001,PRA,1 - 3,Rajesh Balkrishnan,tba,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Integrative Learning HP Part 1,,Open,0,2,0,0,"Practicum associated with Methods Course for Health Policy, Law & Ethics Concentration. Prerequisite: Instructor Permission",,
10045,PHS,8881,002,PRA,1 - 3,Aaron Pannone,tba,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Integrative Learning HP Part 1,,Open,1,30,0,0,"Practicum associated with Methods Course for Health Policy, Law & Ethics Concentration. Prerequisite: Instructor Permission",,
10046,PHS,8881,003,PRA,1 - 3,Heather Zelle,tba,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Integrative Learning HP Part 1,,Open,1,30,0,0,"Practicum associated with Methods Course for Health Policy, Law & Ethics Concentration. Prerequisite: Instructor Permission",,
10043,PHS,8901,001,PRA,1,Paige Hornsby,tba,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Applied Practice Experience II,,Open,0,30,0,0,"The Applied Practice is a planned, supervised & evaluated work experience with an organization that contributes to the health of a community. Students apply skills learned in the program to a real-world setting & work toward achieving competencies. Placements are selected based on the interests & needs of the student. A min of 50 hours is required; placements may occur during an academic year, one semester or over summer.",,
10048,PHS,8960,001,Lecture,1 - 6,Aaron Pannone,tba,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Supervised Independent Research I,,Closed,1,1,0,0,Supervised Independent Research,,
10115,PHYS,1130,001,Lecture,3,Richard Lindgren,motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Physics of Sports,,Open,27,50,0,10,"A study of the physics concepts behind the motion of spinning and curving projectiles in worldwide sports such as soccer, tennis, basketball, baseball, football, etc. and rolling and sliding balls/diska along a flat surface. Basic explanations include utilizing kinematics, gravity, friction, air flow, and Newton's Laws. Learn about hang time, topspin, dimples,drag crisis, sideways forces, least energy launch angle, jumping, and crouching.",Science & Society,
10011,PLAP,3160,001,SEM,3,Paul Freedman,motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Politics of Food,,Open,38,40,0,10,"This course looks at the production and consumption of food in a political context. We will explore legislation, regulation, and other policies that affect the food system and examine their implications for the environment, public health and democratic politics. We will look closely at controversies over agricultural subsidies, labeling requirements, farming practices, food safety, advertising and education.",Cultures & Societies of the World$Social & Economic Systems,
10009,PLAP,3420,001,Lecture,3,"Kenneth Stroupe, Mary Brown",motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Virginia Government and Politics,,Closed,30,30,0,10,"Course will provide students with a comprehensive understanding of the structure, functions and processes of state and local government in Virginia and to introduce students to political leaders and policymakers of state government. When the course is finished, students should be able to answer journalist Guy Friddell's query: ""What is it about Virginia?""",Social & Economic Systems,
10119,PSYC,2500,1,SEM,3,Hudson Golino,motuwethfrsa 12:00am - 12:00am,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Topics in Psychology,Psychology of Misinformation,Open,95,100,0,20,This course covers a variety of special topics in the field of psychology.,Social & Economic Systems,
10006,PSYC,3210,001,Laboratory,3,Erin Clabough,motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,RM: Psychobiology Laboratory,,Open,10,14,0,5,"Develops skills necessary for the study of neural bases of behavior, such as brain dissection, electrophysiology, histology, behavioral analysis, and genetic/epigenetic analyses. Emphasis is on mastering contemporary techniques used in neuroscience research and effective, professional written presentation of research findings. Prerequisite: PSYC 2200 or 4200 or BIOL 3050 or PSYC 3200; PSYC 3005 recommended.",Living Systems,
10121,PSYC,3490,1,Lecture,3,Tobias Grossmann,motuwethfrsa 12:00am - 12:00am,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Infant Development,,Closed,50,50,0,10,"Infancy is the time of life during which enormous changes take place- newborns are very different from the inquisitive, walking and talking 2-year-old. The following lines of development during the first two years are traced in detail: motor, perceptual, cognitive, social, and emotional development. Environmental influences, including parental behavior are considered, as well as the effect the infant has on caregivers.",Living Systems,
10150,PSYC,3500,001,SEM,3,Lucy Guarnera,motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Special Topics in Psychology,Criminal Minds,Open,10,15,0,100,Seminars on special and current topics in psychology.,Social & Economic Systems,
10151,PSYC,3500,002,SEM,3,Channing Mathews,motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Special Topics in Psychology,Qual Mthds in Psych Research,Open,10,15,0,100,Seminars on special and current topics in psychology.,Social & Economic Systems,
10122,PSYC,3559,001,Lecture,3,"M. Joseph Meyer, Karen Schmidt, Xin Tong",motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,New Course in Psychology,RM: Data Modeling Regress in R,Open,5,20,0,10,This course provides the opportunity to offer a new topic in the subject area of psychology.,"Quantification, Computation & Data Analysis",
10161,PSYC,3590,001,IND,2 - 3,Christopher Mazurek,tba,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Research in Psychology,Research I,Closed,1,1,0,0,An original experimental project is undertaken in which each student is responsible for the design and operation of the experiment. S/U grading. May be repeated for credit. Prerequisite: 14 credits of psychology and instructor permission.,,
10020,PSYC,4260,001,SEM,3,Jessica Connelly,motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,RM: Genetic and Epigenetic Research in Behavior,,Open,8,10,0,5,We will discuss basic concepts in genetics/epigenetics and the role these molecular modifications play in behavior and disorder. We will evaluate empirical papers and learn the molecular techniques described within them. Completion of this course should result in increased knowledge of the use of genome level data in psychology and biology.,,
10123,PSYC,4310,1,SEM,3,Mariana Golino,motuwethfrsa 12:00am - 12:00am,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Cognitive Aging,,Closed,31,30,0,10,This course aims to discuss the state-of-the-art in the large field of cognitive aging and the main lifespan predictors that lead to healthy aging.,Living Systems,
10018,PSYC,4350,001,Lecture,3,Meghan Puglia,motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,RM: Research Methods in Developmental Cognitive Neuroscience,,Open,11,12,0,5,"This course offers a practical introduction to techniques in developmental cognitive neuroscience including electroencephalography (EEG), functional near-infrared spectroscopy (fNIRS), and functional magnetic resonance imaging (fMRI). Students will gain hands-on experience collecting and analyzing neuroscientific data and an understanding of how human neuroscience techniques may inform our understanding of the developing brain.",Living Systems,
10148,PSYC,4500,001,SEM,3,James Coan,motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Special Topics in Psychology,Neurosci of Soc Relationships,Open,13,17,0,0,Topical Offerings in Psychology,Living Systems,
10015,PSYC,5326,001,SEM,3,James Coan,motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,The Neuroscience of Social Relationships,,Open,13,17,0,0,"This course will provide a broad overview of neuroscientific research into social relationships. The field is relatively new, and changing quickly. After a brief review of the neuroscientific methods we are likely to encounter in this literature, the course will be oriented toward readings and discussion, with brief research proposals presented at the end. PSYC 2200 or BIOL 3050 recommended.",,
10126,RELB,2100,1,Lecture,3,Kurtis Schaeffer,motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Buddhism,,Open,29,36,0,10,"Theravada, Mahayana, and Tantrayana Buddhist developments in India.",Cultures & Societies of the World$Historical Perspectives,
10013,SLAV,2360,001,Lecture,3,Stanley Stepanic,motuwethfrsa 10:00am - 3:30pm,***,01/02/2026 - 01/10/2026,,,,,,,,,,,,,Dracula,,Open,32,300,0,25,"An introduction to Slavic folklore with special emphasis on the origins and subsequent manifestations of vampirism. Western perceptions, misperceptions, and adaptations of Slavic culture are explored and explicated. The approach is interdisciplinary: folklore, history, literature, religion, film, disease and a variety of other topics.","Artistic, Interpretive, & Philosophical Inquiry$Cultures & Societies of the World",
