ClassNumber,Mnemonic,Number,Section,Type,Units,Instructor1,Days1,Room1,MeetingDates1,Instructor2,Days2,Room2,MeetingDates2,Instructor3,Days3,Room3,MeetingDates3,Instructor4,Days4,Room4,MeetingDates4,Title,Topic,Status,Enrollment,EnrollmentLimit,Waitlist,Description
18739,ANTH,2040,102,Discussion,"0","Gregory Flynn-Sollish","Fr 9:00am - 9:50am","The Rotunda Room 150","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Methods in the Study of Culture","",Closed,20,20,0,"How do you study culture? How do you research aspects of people's lives that they themselves take for granted? This course introduces the theory, ethics, and practice of ethnographic field research, or ""fieldwork,"" which is valued in public health, development, design, planning, marketing, activism, and education. Students gain practical experience conducting an ethnographic research project and presenting the results in a public blog."
18740,ANTH,2040,103,Discussion,"0","Gregory Flynn-Sollish","Fr 11:00am - 11:50am","Brooks Hall 103","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Methods in the Study of Culture","",Closed,20,20,0,"How do you study culture? How do you research aspects of people's lives that they themselves take for granted? This course introduces the theory, ethics, and practice of ethnographic field research, or ""fieldwork,"" which is valued in public health, development, design, planning, marketing, activism, and education. Students gain practical experience conducting an ethnographic research project and presenting the results in a public blog."
20621,ANTH,2250,001,Lecture,"3","Richard Handler","TuTh 2:00pm - 3:15pm","Old Cabell Hall 107","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Nationalism, Racism, Multiculturalism","",Closed,44,40,0,"Introductory course in which the concepts of culture, multiculturalism, race, racism, and nationalism are critically examined in terms of how they are used and structure social relations in American society and, by comparison, how they are defined in other cultures throughout the world."
12173,ANTH,2280,100,Lecture,"3","China Scherz","MoWe 9:00am - 9:50am","Maury Hall 209","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Medical Anthropology","",Closed,299,300,0,"The course introduces medical anthropology, and contextualizes bodies, suffering, healing and health. It is organized thematically around a critical humanist approach, along with perspectives from political economy and social constructionism. The aim of the course is to provide a broad understanding of the relationship between culture, healing (including and especially the Western form of healing known as biomedicine), health and political power."
18729,ANTH,2280,101,Discussion,"0","Madeleine Jean","Tu 8:30am - 9:20am","New Cabell Hall 191","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Medical Anthropology","",Closed,20,20,0,"The course introduces medical anthropology, and contextualizes bodies, suffering, healing and health. It is organized thematically around a critical humanist approach, along with perspectives from political economy and social constructionism. The aim of the course is to provide a broad understanding of the relationship between culture, healing (including and especially the Western form of healing known as biomedicine), health and political power."
18730,ANTH,2280,102,Discussion,"0","Jeffrey Attridge","Fr 10:00am - 10:50am","Physics Bldg 218","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Medical Anthropology","",Closed,20,20,0,"The course introduces medical anthropology, and contextualizes bodies, suffering, healing and health. It is organized thematically around a critical humanist approach, along with perspectives from political economy and social constructionism. The aim of the course is to provide a broad understanding of the relationship between culture, healing (including and especially the Western form of healing known as biomedicine), health and political power."
18731,ANTH,2280,103,Discussion,"0","Xiaolei Qu","Tu 8:00am - 8:50am","New Cabell Hall 187","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Medical Anthropology","",Closed,20,20,0,"The course introduces medical anthropology, and contextualizes bodies, suffering, healing and health. It is organized thematically around a critical humanist approach, along with perspectives from political economy and social constructionism. The aim of the course is to provide a broad understanding of the relationship between culture, healing (including and especially the Western form of healing known as biomedicine), health and political power."
18732,ANTH,2280,104,Discussion,"0","Xiaolei Qu","Th 8:30am - 9:20am","New Cabell Hall 191","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Medical Anthropology","",Closed,20,20,0,"The course introduces medical anthropology, and contextualizes bodies, suffering, healing and health. It is organized thematically around a critical humanist approach, along with perspectives from political economy and social constructionism. The aim of the course is to provide a broad understanding of the relationship between culture, healing (including and especially the Western form of healing known as biomedicine), health and political power."
18733,ANTH,2280,105,Discussion,"0","Madeleine Jean","We 7:00pm - 7:50pm","New Cabell Hall 191","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Medical Anthropology","",Closed,20,20,0,"The course introduces medical anthropology, and contextualizes bodies, suffering, healing and health. It is organized thematically around a critical humanist approach, along with perspectives from political economy and social constructionism. The aim of the course is to provide a broad understanding of the relationship between culture, healing (including and especially the Western form of healing known as biomedicine), health and political power."
18734,ANTH,2280,106,Discussion,"0","Xiaolei Qu","We 8:00am - 8:50am","New Cabell Hall 411","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Medical Anthropology","",Closed,20,20,0,"The course introduces medical anthropology, and contextualizes bodies, suffering, healing and health. It is organized thematically around a critical humanist approach, along with perspectives from political economy and social constructionism. The aim of the course is to provide a broad understanding of the relationship between culture, healing (including and especially the Western form of healing known as biomedicine), health and political power."
18735,ANTH,2280,107,Discussion,"0","Jeffrey Attridge","Mo 12:00pm - 12:50pm","Brooks Hall 103","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Medical Anthropology","",Closed,20,20,0,"The course introduces medical anthropology, and contextualizes bodies, suffering, healing and health. It is organized thematically around a critical humanist approach, along with perspectives from political economy and social constructionism. The aim of the course is to provide a broad understanding of the relationship between culture, healing (including and especially the Western form of healing known as biomedicine), health and political power."
18736,ANTH,2280,108,Discussion,"0","Richard Karl Deang","We 4:00pm - 4:50pm","New Cabell Hall 485","08/27/2019 - 12/06/2019","","","","","","","","","","","","","Medical Anthropology","",Open,19,20,0,"The course introduces medical anthropology, and contextualizes bodies, suffering, healing and health. It is organized thematically around a critical humanist approach, along with perspectives from political economy and social constructionism. The aim of the course is to provide a broad understanding of the relationship between culture, healing (including and especially the Western form of healing known as biomedicine), health and political power."
