Term Desc,Subject,Catalog Number,Class Title,Course ID,Primary Instructor Name,Class Section,Class Num,Class Academic Group,Course GPA,# of Students,A+,A,A-,B+,B,B-,C+,C,C-,DFW
2024 Spring,LAW,7035,Foreign Relations Law,021783,"Eichensehr,Kristen",1,18648,School of Law,3.49,26,0,6,5,11,4,0,0,0,0,0
2024 Spring,FREN,4123,Medieval Love,043430,"Ogden,Amy",001,19208,College & Graduate Arts & Sci,3.84,10,0,6,3,1,0,0,0,0,0,0
2024 Spring,BIOL,4011,Homeostasis:Wisdom of the Body,046082,"Campbell,John",001,19217,College & Graduate Arts & Sci,4.00,41,3,38,0,0,0,0,0,0,0,0
2024 Spring,PLAN,2020,Planning Design,031270,"Guerra,Vanessa",001,14283,School of Architecture,3.95,22,0,20,1,1,0,0,0,0,0,0
2024 Spring,PHYS,2020,Principles of Physics 2,030810,"Sundararajan,Jency",004,13798,College & Graduate Arts & Sci,3.40,99,12,24,20,9,17,7,2,3,5,0
2024 Spring,CHE,4456,Bioproduct & Bioprocess Eng,044954,"King,Michael",001,16237,Engineering & Applied Science,3.70,14,4,2,5,1,2,0,0,0,0,0
2024 Spring,DS,3005,Mathematics for Data Science,046960,"Guadagni,Gianluca",001,20027,School of Data Science,3.48,23,0,16,1,2,1,0,0,1,0,2
2024 Spring,LAW,9077,Asian Amer and the Law,022002,"Law,David",1,18631,School of Law,3.56,15,0,1,8,6,0,0,0,0,0,0
2024 Spring,PLAC,5860,Green Infrastructure: Sites,031149,"Firehock,Karen",001,14284,School of Architecture,3.88,8,0,6,1,1,0,0,0,0,0,0
2024 Spring,COMM,2600,Leadership Across Disciplines,006449,"Lovelace,Jeffrey",001,14553,McIntire School of Commerce,3.69,82,1,22,44,11,3,1,0,0,0,0
2024 Spring,PHIL,1330,Virtual Worlds and Philosophy,047181,"Cameron,Ross",100,20327,College & Graduate Arts & Sci,3.84,60,0,30,28,2,0,0,0,0,0,0
2024 Spring,LASE,3602,Catalyst Capstone,047063,"Flood,David",001,19216,College & Graduate Arts & Sci,3.32,18,1,9,2,1,3,0,0,0,0,2
2024 Spring,LAW,7112,Energy Regulation and Policy,041697,"Gocke,Alison",1,18643,School of Law,3.53,24,0,4,9,8,3,0,0,0,0,0
2024 Spring,STAT,1602,Intro Data Science with Python,045052,"Somal,Harsimran",001,13665,College & Graduate Arts & Sci,3.86,89,2,81,0,1,2,0,0,1,0,2
2024 Spring,ENWR,1510,Writing and Critical Inquiry,013432,"Adams,Hodges",003,11001,College & Graduate Arts & Sci,4.00,18,12,6,0,0,0,0,0,0,0,0
2024 Spring,EDIS,5401,Teaching Secondary English II,040534,"Heny,Natasha",001,14683,School of Education and HumanDev,3.90,13,0,11,1,0,1,0,0,0,0,0
2024 Spring,CGBM,2310,Principles of Marketing,047003,"Johnson,Andrew Reeves",002,20247,McIntire School of Commerce,3.66,24,0,10,9,3,1,0,0,0,1,0
2024 Spring,ARCH,3020,Foundation Studio V,001518,"Duddy,Lindsay Martine",006,14423,School of Architecture,3.78,12,2,4,4,2,0,0,0,0,0,0
2024 Spring,SYS,6034,Discrete-Event Stochastic Sim,036963,"Park,B. Brian",001,16356,Engineering & Applied Science,3.40,10,3,3,1,1,1,0,0,0,0,1
2024 Spring,EDIS,5410,Young Adult Literature,009456,"Johnson,Wintre",500,15132,School of Education and HumanDev,3.91,10,1,6,3,0,0,0,0,0,0,0
2024 Spring,EDIS,5140,Instruct & Collab Special Ed,009436,"Williams,Mira",500,15168,School of Education and HumanDev,3.96,8,2,5,1,0,0,0,0,0,0,0
2024 Spring,CGBM,2710,Making Financial Decisions,047004,"White,Mark A",001,20248,McIntire School of Commerce,3.38,34,0,6,8,10,8,1,0,0,1,0
2024 Spring,ENTP,1010,Intro to Entrepreneurship,043881,"Etienne,Bevin",003,14526,McIntire School of Commerce,3.73,55,0,27,20,2,3,2,0,1,0,0
2024 Spring,EDIS,4310,Differenting Reading Instruct,046126,"Wilburn,Katie",001,15032,School of Education and HumanDev,3.87,25,0,22,1,0,1,0,0,1,0,0
2024 Spring,LAW,7144,Negotiation,043847,"Sachs,Benjamin",2,18006,School of Law,3.52,30,1,2,12,14,0,1,0,0,0,0
2024 Spring,WGS,3100,Intro to WGS Theory,046694,"Gonzales,Isabel",001,13676,College & Graduate Arts & Sci,3.66,28,2,10,10,3,1,0,2,0,0,0
2024 Spring,EDLF,3150,Intro Chld Growth & Developmnt,009660,"Jirout,Jamie",002,14892,School of Education and HumanDev,3.90,29,0,25,2,0,1,1,0,0,0,0
2024 Spring,BIOL,8084,Advanced Ecology & Evolution 4,043129,"Gibson,Amanda Kyle",001,19218,College & Graduate Arts & Sci,3.90,6,2,2,2,0,0,0,0,0,0,0
2024 Spring,EDLF,5425,Governance Collegiate Athletic,043450,"Starsia,Gerald",001,14846,School of Education and HumanDev,3.59,9,0,4,1,2,2,0,0,0,0,0
2024 Spring,CE,4025,VDC Coordination and Control,046268,"Pennetti,Cody",001,16455,Engineering & Applied Science,3.66,10,2,3,1,3,1,0,0,0,0,0
2024 Spring,PHIL,2500,Survey on a PhilosophicalTopic,043637,"Payton,Dee",300,12341,College & Graduate Arts & Sci,3.37,42,1,13,12,1,7,2,2,3,0,1
2024 Spring,STS,2600,Engineering Ethics,046988,"Groves,James",004,19197,Engineering & Applied Science,3.66,14,0,10,1,2,0,0,0,0,0,1
2024 Spring,HIEU,3692,The Holocaust,018477,"Barnett,Victoria",100,13433,College & Graduate Arts & Sci,3.92,59,44,9,2,2,1,0,1,0,0,0
2024 Spring,KINE,3660,Neuroscience of Exercise,043490,"Resch,Jacob",001,14762,School of Education and HumanDev,3.55,146,0,56,35,27,17,4,4,1,0,2
2024 Spring,LAW,9124,On Purpose: Intro to Leadshp,022319,"Mathas,Theodore",1,18661,School of Law,3.42,16,0,1,6,6,2,1,0,0,0,0
2024 Spring,RELG,3950,"Evil Modernity: Banal, Demonic",034230,"Mathewes,Charles",100,18786,College & Graduate Arts & Sci,3.18,16,0,4,2,5,2,1,1,0,0,1
2024 Spring,FREN,8560,Seminar in 19th-Century Lit,014505,"Krueger,Cheryl",001,19212,College & Graduate Arts & Sci,3.63,6,0,2,3,0,0,1,0,0,0,0
2024 Spring,KINE,3430,Phys Activ Health Disparities,046562,"Swift,Damon",001,15049,School of Education and HumanDev,3.66,34,0,17,9,3,2,1,2,0,0,0
2024 Spring,PLAN,6050,Land Use and Environmental Law,031388,"Ripple,Christopher A.",001,14375,School of Architecture,3.40,22,0,6,6,2,1,7,0,0,0,0
2024 Spring,LAW,7024,Banking & Financial Institutns,040097,"Verdier,Pierre-Hugues",1,18632,School of Law,3.54,8,0,1,3,4,0,0,0,0,0,0
